model_name,alpha,max_features,ngram_range,validation_mae,validation_rmse,validation_r2,baseline_mae,mae_improvement_over_baseline
TF-IDF + Ridge Tuned,10.0,5000,"(1, 2)",174.94168273061783,224.41954376886815,0.10251480027509885,179.8768935206791,4.935210790061262
TF-IDF + Ridge Tuned,10.0,3000,"(1, 1)",175.71533436305506,224.09527032276918,0.10510655634346866,179.8768935206791,4.161559157624026
TF-IDF + Ridge Tuned,10.0,1000,"(1, 1)",175.71533436305506,224.09527032276918,0.10510655634346866,179.8768935206791,4.161559157624026
TF-IDF + Ridge Tuned,10.0,5000,"(1, 1)",175.71533436305506,224.09527032276918,0.10510655634346866,179.8768935206791,4.161559157624026
TF-IDF + Ridge Tuned,10.0,8000,"(1, 1)",175.71533436305506,224.09527032276918,0.10510655634346866,179.8768935206791,4.161559157624026
TF-IDF + Ridge Tuned,30.0,1000,"(1, 2)",177.37297480474908,230.36957094285253,0.054293939816342784,179.8768935206791,2.5039187159300127
TF-IDF + Ridge Tuned,30.0,3000,"(1, 2)",178.2123812113165,232.16065681486916,0.039531352687617094,179.8768935206791,1.6645123093625784
TF-IDF + Ridge Tuned,30.0,8000,"(1, 2)",178.2123812113165,232.16065681486916,0.039531352687617094,179.8768935206791,1.6645123093625784
TF-IDF + Ridge Tuned,30.0,5000,"(1, 2)",178.2123812113165,232.16065681486916,0.039531352687617094,179.8768935206791,1.6645123093625784
TF-IDF + Ridge Tuned,30.0,3000,"(1, 1)",178.31613433461203,231.551662347196,0.04456366893971486,179.8768935206791,1.5607591860670595
TF-IDF + Ridge Tuned,30.0,1000,"(1, 1)",178.31613433461203,231.551662347196,0.04456366893971486,179.8768935206791,1.5607591860670595
TF-IDF + Ridge Tuned,30.0,5000,"(1, 1)",178.31613433461203,231.551662347196,0.04456366893971486,179.8768935206791,1.5607591860670595
TF-IDF + Ridge Tuned,30.0,8000,"(1, 1)",178.31613433461203,231.551662347196,0.04456366893971486,179.8768935206791,1.5607591860670595
TF-IDF + Ridge Tuned,100.0,1000,"(1, 2)",179.60624978473194,235.59109443819872,0.010937617277583245,179.8768935206791,0.2706437359471465
TF-IDF + Ridge Tuned,100.0,1000,"(1, 1)",179.9062525929214,236.0092958640496,0.007423100586436582,179.8768935206791,-0.0293590722423005
TF-IDF + Ridge Tuned,100.0,3000,"(1, 1)",179.9062525929214,236.0092958640496,0.007423100586436582,179.8768935206791,-0.0293590722423005
TF-IDF + Ridge Tuned,100.0,5000,"(1, 1)",179.9062525929214,236.0092958640496,0.007423100586436582,179.8768935206791,-0.0293590722423005
TF-IDF + Ridge Tuned,100.0,8000,"(1, 1)",179.9062525929214,236.0092958640496,0.007423100586436582,179.8768935206791,-0.0293590722423005
TF-IDF + Ridge Tuned,100.0,3000,"(1, 2)",179.9630819733741,236.30873986750353,0.004902778209760039,179.8768935206791,-0.08618845269501207
TF-IDF + Ridge Tuned,100.0,5000,"(1, 2)",179.9630819733741,236.30873986750353,0.004902778209760039,179.8768935206791,-0.08618845269501207
TF-IDF + Ridge Tuned,100.0,8000,"(1, 2)",179.9630819733741,236.30873986750353,0.004902778209760039,179.8768935206791,-0.08618845269501207
