source_site,food_class,query,recipe_name,ingredients_text,calories,protein,fat,carbs,source_url,scraped_at
bbc_good_food,pizza,pizza,Pizza sauce,2 tbsp olive oil 1 small onion finely chopped 1 fat garlic clove crushed 2 x 400g cans chopped tomatoes 3 tbsp tomato purée 1 bay leaf 2 tbsp dried oregano 2 tsp brown sugar 1 small bunch basil finely chopped,120.0,3.0,6.0,12.0,https://www.bbcgoodfood.com/recipes/pizza-sauce,2026-05-12 00:36:29
bbc_good_food,pizza,pizza,Quick pizza dough,350g strong white bread flour plus extra for dusting 1 sachet fast-action dried yeast ½ tsp caster sugar pizza toppings of your choice,656.0,23.0,2.0,133.0,https://www.bbcgoodfood.com/recipes/quick-pizza-dough-2,2026-05-12 00:36:31
bbc_good_food,pizza,pizza,Pizza dough,"500g '00'  flour or plain flour, plus extra for dusting 1 tsp salt ½ tsp dried yeast (not fast-action) 300-350ml warm water oil for greasing",504.0,13.0,2.0,106.0,https://www.bbcgoodfood.com/recipes/basic-pizza-dough,2026-05-12 00:36:35
bbc_good_food,pizza,pizza,No yeast pizza dough,350g plain flour 2 ¾ tsp  baking powder 1 tsp salt 1 tbsp oil additional toppings of your choice,352.0,9.0,4.0,68.0,https://www.bbcgoodfood.com/recipes/no-yeast-pizza-dough,2026-05-12 00:36:36
bbc_good_food,pizza,cheese pizza,Cauliflower cheese,"1 large cauliflower (leaves cut off), broken into pieces 500ml milk 4 tbsp flour 50g butter 100g strong cheddar grated 2-3 tbsp breadcrumbs if you have them",299.0,12.0,17.0,22.07,https://www.bbcgoodfood.com/recipes/cauliflower-cheese-0,2026-05-12 00:37:35
bbc_good_food,pizza,cheese pizza,Best ever macaroni cheese recipe,"50g baguette cut into small chunks 2 tbsp butter plus 1 tbsp melted 350g spiral or other short pasta 1 garlic clove finely chopped 1 tsp English mustard powder 3 tbsp plain flour 500ml whole milk 250g vegetarian mature cheddar grated 50g parmesan (or vegetarian alternative), grated",884.0,38.0,41.0,87.09,https://www.bbcgoodfood.com/recipes/best-ever-macaroni-cheese-recipe,2026-05-12 00:37:36
bbc_good_food,pizza,cheese pizza,Classic cheese scones,225g self-raising flour plus extra for dusting pinch of salt pinch of cayenne pepper 1 tsp baking powder 55g chilled butter cut into cubes 120g mature cheddar grated 90-100ml milk plus 1 tbsp for glazing,300.0,9.0,16.0,30.0,https://www.bbcgoodfood.com/recipes/classic-cheese-scones,2026-05-12 00:37:39
bbc_good_food,pizza,cheese pizza,Cheese sauce,"500ml milk 4 tbsp plain flour 50g butter 100g grated strong cheddar (or 50g grated cheddar, 50g crumbled blue cheese)",219.0,8.0,14.0,14.0,https://www.bbcgoodfood.com/recipes/cheese-sauce,2026-05-12 00:37:46
bbc_good_food,pizza,cheese pizza,Next-level cauliflower cheese,"1 large cauliflower cut into large florets 2 tbsp olive oil pinch of cayenne pepper 40g vegetarian Italian-style hard cheese finely grated 50g butter 40g plain flour 600ml whole milk 1 tsp mustard powder or English mustard 1 tsp yeast extract (optional) 150g extra mature cheddar most grated, some cubed grating of  nutmeg 3 tbsp  dried breadcrumbs (panko work well) 2 tbsp crispy onions",407.0,17.0,27.0,22.0,https://www.bbcgoodfood.com/recipes/next-level-cauliflower-cheese,2026-05-12 00:37:47
bbc_good_food,pizza,cheese pizza,Cheese & bacon turnovers,"1 sheet ready-rolled  puff pastry 3 tbsp  soft cheese 1 tsp  Dijon mustard (optional) 6 rashers dry-cured  smoked bacon 100g  mature cheddar gruyère or Swiss cheese, grated 1 egg beaten",366.0,13.0,27.0,17.0,https://www.bbcgoodfood.com/recipes/cheese-bacon-turnovers,2026-05-12 00:37:49
